"","date","year","quarter","age","e","u","i","eu","ei","ue","ui","ie","iu","ee","ue_s","eu_s","ei_s","ui_s","ie_s","iu_s"
"4365",2016 Q2,2016,2,36,0.76790303,0.028919391,0.20294474,0.007831661,0.025664879,0.29854155,0.27092469,0.055613484,0.039167181,0.017714879,0.364987775829258,0.0112438333388428,0.0255155102102717,0.355294734778598,0.0477879483248711,0.0621141035953183
"4366",2016 Q2,2016,2,37,0.78702873,0.033689879,0.17932835,0.0090964651,0.014158164,0.28084329,0.19348115,0.071984313,0.050950214,0.020424349,0.335722288294979,0.012905414329744,0.0138226936532848,0.266307408015696,0.0635090000365627,0.0786566926294158
"4367",2016 Q2,2016,2,38,0.78945261,0.031820342,0.17799301,0.011612523,0.01551233,0.23626909,0.28598997,0.053058427,0.036136061,0.016001806,0.270227107130258,0.0155164833038978,0.0138873096607518,0.338010815865169,0.0489540748890499,0.0506653553115274
"4368",2016 Q2,2016,2,39,0.81285614,0.030334629,0.15657598,0.0084418152,0.019948034,0.24368905,0.2260741,0.06800662,0.049539849,0.018953202,0.280695530039409,0.0109552240723633,0.0200792991998185,0.284736360552844,0.0622684702035536,0.0711987055915678
"4369",2016 Q2,2016,2,40,0.80606121,0.028675715,0.16520771,0.0083491132,0.016962377,0.26018143,0.21215312,0.066140085,0.027782308,0.017198345,0.304049317617451,0.011545690486583,0.0168010823750412,0.275507497115326,0.0636617245917674,0.0413483403765259
"4370",2016 Q2,2016,2,41,0.8003574,0.027802672,0.17174549,0.0089013707,0.019356402,0.35047191,0.20380101,0.051805083,0.038726002,0.019870287,0.4565303973536,0.0148176591876489,0.0186519093569449,0.310417155636859,0.0394723310041862,0.069082833980319
"4371",2016 Q2,2016,2,42,0.81492907,0.018605914,0.16701639,0.0062539377,0.018382523,0.26348066,0.33296716,0.067414925,0.03017205,0.018097421,0.304221801857756,0.00855287035630448,0.018097216907686,0.40147629852959,0.0645158276911052,0.0454619868985098
"4372",2016 Q2,2016,2,43,0.78210622,0.032765768,0.18511125,0.0067096935,0.017115263,0.26556045,0.21194442,0.064485177,0.044773124,0.023653135,0.312666055628331,0.00904836584873014,0.0172487300588282,0.277719354412629,0.0578613517208195,0.0668682246921027
"4373",2016 Q2,2016,2,44,0.79084599,0.035688739,0.17351654,0.012591858,0.022507256,0.29206961,0.14544481,0.091384783,0.046538565,0.021595424,0.355025969529872,0.0182486687231276,0.0233628006998456,0.213841135831103,0.0857317434854307,0.0750056942168428
"4374",2016 Q2,2016,2,45,0.80162853,0.031337142,0.16670915,0.011619577,0.017688395,0.20311469,0.20405804,0.057701319,0.027496399,0.0132115,0.226670871959145,0.0147414574697832,0.0171712522763291,0.242993564540744,0.0565185723783334,0.0366766701866409
