date,tenure,eu,en,ee
1998m3,18,0,.0033586686,.01692858
1998m3,19,0,.013232107,.01342413
1998m3,20,.0053926772,.023842199,.010033483
1998m3,21,0,0,.0039468887
1998m3,22,0,.0036763723,.002593864
1998m3,23,0,.0081431279,.015319187
1998m3,24,0,.013634279,.01833668
1998m3,25,.0028055001,.025295228,.012955424
1998m3,26,.0058877347,.019840557,.0064028907
1998m3,27,0,.0011972527,.0087870341
1998m3,28,0,.012019131,.0056860577
1998m3,29,0,.02205589,.01999166
1998m3,30,.0026894009,.026503602,.029305637
1998m3,31,0,0,.028280262
1998m3,32,0,.04025707,0
1998m3,33,0,.02614977,0
1998m3,34,0,.022085173,.017355308
1998m3,35,0,0,.010625848
1998m3,36,0,.05175478,0
1998m3,37,0,0,.038363498
1998m3,38,0,0,0
1998m3,39,0,.14934587,.034421109
1998m3,40,0,.025286591,.022045042
1998m3,41,0,0,0
1998m3,42,0,.099994637,0
1998m3,43,0,0,0
1998m3,44,0,.21280412,.29252374
1998m3,45,0,.32724056,0
1998m3,47,0,0,.12377506
1998m3,48,0,0,0
1998m3,49,0,0,0
1998m3,50,0,.15507367,0
1998m3,52,0,0,0
1998m3,53,0,0,0
1998m3,,,,
2000m3,0,.024676587,.064081222,.058847066
2000m3,1,.010804829,.029833885,.030094655
2000m3,2,.0060006035,.031451657,.03227159
2000m3,3,.0093086334,.028461957,.027100269
2000m3,4,.010234284,.027870264,.02774768
2000m3,5,.0064434512,.019637683,.021041617
2000m3,6,.0046139951,.012266387,.025573485
2000m3,7,.0058601988,.019313071,.018555626
2000m3,8,.005459643,.017136974,.018149329
2000m3,9,.002018492,.01451017,.018210353
2000m3,10,.0050262208,.019015513,.012570713
2000m3,11,.0053628064,.017004395,.0067069014
2000m3,12,.004059629,.011985435,.012004551
2000m3,13,.0059571154,.017996455,.017996062
2000m3,14,.00068478653,.0068753464,.0077899499
2000m3,15,.0070854621,.022129819,.017981224
2000m3,16,.0011515116,.015821502,.0063593318
2000m3,17,0,.018124996,.023409298
2000m3,18,.0052194004,.011100153,.016584473
2000m3,19,0,.0034793743,.016591121
2000m3,20,.0065991073,.022000963,.018518737
2000m3,21,.0016874974,.0094653536,.0012184252
2000m3,22,.0045605423,.021058397,.018445835
2000m3,23,0,.0073127048,.0043491176
2000m3,24,0,.01699266,.016195439
2000m3,25,0,.017403409,.026356321
2000m3,26,0,0,.014970865
2000m3,27,.017606298,.030373216,.01348472
2000m3,28,.0030432579,.017791705,.008157311
2000m3,29,0,.034053154,.023238141
2000m3,30,.0079659112,.036151331,.0186147
2000m3,31,0,.016318345,0
2000m3,32,0,.013170136,.022767009
2000m3,33,0,.019616397,0
2000m3,34,0,.018276498,0
2000m3,35,0,.042713255,0
2000m3,36,0,0,.0262789
2000m3,37,0,.082320683,0
2000m3,38,0,.060694221,0
2000m3,39,0,.022019884,0
2000m3,40,.022616401,.05033911,0
2000m3,41,0,.16957827,0
2000m3,42,0,0,0
2000m3,43,0,0,.10174395
2000m3,44,0,.043567743,0
2000m3,45,0,.082705662,0
2000m3,46,0,.25881711,0
2000m3,47,0,0,0
2000m3,48,0,0,0
2000m3,49,0,0,0
2000m3,50,.01333788,.23006776,0
2000m3,51,0,0,0
2000m3,53,0,0,0
2000m3,55,0,0,0
2000m3,,,,
2002m2,0,.037400737,.073888771,.054744322
2002m2,1,.016538881,.037663549,.028711261
2002m2,2,.0085751973,.034206524,.025620842
2002m2,3,.019426063,.038135793,.022785069
2002m2,4,.011069819,.02364633,.015948284
2002m2,5,.010413387,.022743598,.016662359
2002m2,6,.0059527992,.023041857,.015675759
2002m2,7,.0060146386,.015674939,.015511721
2002m2,8,.0089815352,.020974524,.014804693
2002m2,9,.0052166954,.021100234,.01076529
2002m2,10,.0078779534,.025962099,.017472275
2002m2,11,.0080300635,.015282959,.016244777
2002m2,12,.005091052,.014128251,.0095502408
2002m2,13,.0036548041,.0092663486,.0090436097
2002m2,14,.0047774338,.017291192,.029335361
2002m2,15,.0041023949,.020986557,.011747115
2002m2,16,.0019871916,.019593423,.01076504
2002m2,17,.0027761671,.0063884216,.013225815
2002m2,18,.0019954729,.01657464,.0060613197
2002m2,19,.0079499707,.0093601113,.0043305857
2002m2,20,.0031834801,.016417641,.012532055
2002m2,21,.008287319,.018098285,.033366308
2002m2,22,0,.019601503,.0088439602
2002m2,23,0,.010011947,.0043161567
2002m2,24,0,.000709382,.016233344
2002m2,25,.0032097464,.018971158,.0087743597
2002m2,26,.0016918468,.0072505102,.0077110659
2002m2,27,.0067311726,.010832245,.0023959018
2002m2,28,.0048003881,.010547117,.027522655
2002m2,29,0,0,.0094547244
2002m2,30,.0051343343,.043203469,.025232468
2002m2,31,0,0,.024398079
2002m2,32,0,.029547643,.032854997
2002m2,33,.013209336,.059210964,.0034385964
2002m2,34,0,0,.01990243
2002m2,35,.006349273,.027727988,.014064636
2002m2,36,0,0,.045971975
2002m2,37,.033800784,.057523765,0
2002m2,38,0,0,0
2002m2,39,.016531939,.016531939,0
2002m2,40,.0031508298,.02453351,0
2002m2,41,0,0,0
2002m2,42,0,0,0
2002m2,43,0,0,.020987269
2002m2,44,0,0,0
2002m2,45,0,0,.13682891
2002m2,46,0,0,0
2002m2,47,0,.23781991,0
2002m2,48,0,0,0
2002m2,50,0,.070721798,0
2002m2,51,0,0,0
2002m2,,,,
2004m2,0,.033211246,.070404105,.037551399
2004m2,1,.014662342,.0386668,.024616551
2004m2,2,.012203538,.037010014,.029240238
2004m2,3,.0075685307,.024560958,.023415804
2004m2,4,.0084651979,.02095893,.023161283
2004m2,5,.00796967,.021654626,.013884205
2004m2,6,.0052462299,.019890489,.01025001
2004m2,7,.0038952702,.015927598,.012204623
2004m2,8,.0077551594,.025269199,.013350656
2004m2,9,.0031373035,.010425233,.0074727582
2004m2,10,.0043029725,.015636187,.015745481
2004m2,11,.0069083632,.019717794,.0055006873
2004m2,12,.0084238201,.014630144,.017594112
2004m2,13,.0021553412,.012108232,.0067221047
2004m2,14,.0005303573,.011763759,.014822893
2004m2,15,.0076560336,.020850057,.013630151
2004m2,16,.00081906701,.0071189953,.0072461423
2004m2,17,.0028870436,.0048292363,.01444416
2004m2,18,.00090207468,.015720624,.007036374
2004m2,19,.010627807,.034444172,.0041838414
2004m2,20,.0092250267,.026531314,.01565201
2004m2,21,.00062826189,.012044804,.0027559155
2004m2,22,0,.0040068259,.028944192
2004m2,23,0,.0015721575,.01999501
2004m2,24,0,.0039693597,.0038534696
2004m2,25,.0032272981,.013890248,.015357402
2004m2,26,0,0,.0026038252
2004m2,27,.010128818,.04496146,.013765131
2004m2,28,0,0,.021739285
2004m2,29,.0096112182,.062131129,.0019029634
2004m2,30,.0022545196,.028020805,.017668163
2004m2,31,0,.0081863105,0
2004m2,32,.00064879132,.00064879132,.011276854
2004m2,33,.022437789,.022437789,0
2004m2,34,0,.033740494,0
2004m2,35,0,.03376421,.0091940528
2004m2,36,0,0,0
2004m2,37,0,0,.032794707
2004m2,38,0,0,0
2004m2,39,0,0,.090601042
2004m2,40,.019426923,.059452929,.087958582
