date,year,quarter,duration,ue
1999q4,1999,4,4,.28150466
2000q1,2000,1,4,.29611802
2000q2,2000,2,4,.20584418
2000q3,2000,3,4,.22164656
2000q4,2000,4,4,.13025917
2001q1,2001,1,4,.24420984
2001q2,2001,2,4,.17760879
2001q3,2001,3,4,.22915123
2001q4,2001,4,4,.18219244
2002q1,2002,1,4,.19049768
2002q2,2002,2,4,.12051609
2002q3,2002,3,4,.20747365
2002q4,2002,4,4,.20551316
2003q1,2003,1,4,.18996565
2003q2,2003,2,4,.17344411
2003q3,2003,3,4,.16910432
2003q4,2003,4,4,.1708419
2004q1,2004,1,4,.15676588
2004q2,2004,2,4,.18813188
2004q3,2004,3,4,.23909485
2004q4,2004,4,4,.21573666
2005q1,2005,1,4,.16697147
2005q2,2005,2,4,.25403625
2005q3,2005,3,4,.18548235
2005q4,2005,4,4,.2187697
2006q1,2006,1,4,.18461861
2006q2,2006,2,4,.27818203
2006q3,2006,3,4,.24414562
2006q4,2006,4,4,.15944895
2007q1,2007,1,4,.22811809
2007q2,2007,2,4,.24024624
2007q3,2007,3,4,.16160177
2007q4,2007,4,4,.18155275
2008q1,2008,1,4,.25477231
2008q2,2008,2,4,.17428136
2008q3,2008,3,4,.20638855
2008q4,2008,4,4,.24990904
2009q1,2009,1,4,.16976435
2009q2,2009,2,4,.12958802
2009q3,2009,3,4,.15226036
2009q4,2009,4,4,.14970036
2010q1,2010,1,4,.13881168
2010q2,2010,2,4,.14400586
2010q3,2010,3,4,.14364481
2010q4,2010,4,4,.14861588
2011q1,2011,1,4,.12550449
2011q2,2011,2,4,.15881005
2011q3,2011,3,4,.15776715
2011q4,2011,4,4,.16851126
2012q1,2012,1,4,.1359631
2012q2,2012,2,4,.15298089
2012q3,2012,3,4,.14088568
2012q4,2012,4,4,.15969206
2013q1,2013,1,4,.12719263
2013q2,2013,2,4,.17376229
2013q3,2013,3,4,.17547207
2013q4,2013,4,4,.19596365
2014q1,2014,1,4,.16979685
2014q2,2014,2,4,.20073327
2014q3,2014,3,4,.11697347
2014q4,2014,4,4,.24624649
2015q1,2015,1,4,.14390883
2015q2,2015,2,4,.2326535
2015q3,2015,3,4,.11976451
2015q4,2015,4,4,.2606824
2016q1,2016,1,4,.22468658
2016q2,2016,2,4,.19057813
2016q3,2016,3,4,.20464399
2016q4,2016,4,4,.21888611
2017q1,2017,1,4,.28157014
2017q2,2017,2,4,.24636312
2017q3,2017,3,4,.21323138
2017q4,2017,4,4,.18536946
2018q1,2018,1,4,.25404942
2018q2,2018,2,4,.17037944
2018q3,2018,3,4,.3090474
2018q4,2018,4,4,.1994592
1995q4,1995,4,5,.20254073
1996q1,1996,1,5,.25778079
1996q2,1996,2,5,.2266257
1996q3,1996,3,5,.21373834
1996q4,1996,4,5,.21612169
1997q1,1997,1,5,.25817904
1997q2,1997,2,5,.22651047
1997q3,1997,3,5,.22750494
1997q4,1997,4,5,.28622076
1998q1,1998,1,5,.19099081
1998q2,1998,2,5,.24780138
1998q3,1998,3,5,.24631695
1998q4,1998,4,5,.38779777
1999q1,1999,1,5,.21874079
1999q2,1999,2,5,.19004789
1999q3,1999,3,5,.369032
1999q4,1999,4,5,.19086717
2000q1,2000,1,5,.27983963
2000q2,2000,2,5,.2691696
2000q3,2000,3,5,.21136853
2000q4,2000,4,5,.19900435
2001q1,2001,1,5,.28045422
2001q2,2001,2,5,.23674949
2001q3,2001,3,5,.24519065
2001q4,2001,4,5,.22682145
2002q1,2002,1,5,.24516909
2002q2,2002,2,5,.15489569
2002q3,2002,3,5,.18349418
2002q4,2002,4,5,.18124351
2003q1,2003,1,5,.17363387
2003q2,2003,2,5,.18167531
2003q3,2003,3,5,.20770618
2003q4,2003,4,5,.17245397
2004q1,2004,1,5,.17793137
2004q2,2004,2,5,.22878869
2004q3,2004,3,5,.27595285
2004q4,2004,4,5,.2491852
2005q1,2005,1,5,.19131483
2005q2,2005,2,5,.23354283
2005q3,2005,3,5,.2166298
2005q4,2005,4,5,.18632215
2006q1,2006,1,5,.2170389
2006q2,2006,2,5,.28182173
2006q3,2006,3,5,.2904475
2006q4,2006,4,5,.20373598
2007q1,2007,1,5,.23162434
2007q2,2007,2,5,.22789256
2007q3,2007,3,5,.21412899
2007q4,2007,4,5,.18275458
2008q1,2008,1,5,.24549174
